Generation,SelectedFeatures,n1,n2,n3,lr,dr,l2,alpha,Accuracy,TP,FP,FN,TN
1,"cp,trestbps,chol,fbs,oldpeak,slope,ca",144,73,38,0.000612,0.2172,0.008685,0.1253,0.8431,258,39,60,274
1,"cp,trestbps,chol,restecg,oldpeak,slope,ca",130,79,59,0.00086,0.0532,0.000931,0.2741,0.8463,260,39,58,274
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",192,74,52,0.00269,0.377,0.004393,0.0992,0.8685,268,33,50,280
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",175,69,40,0.002629,0.2027,0.008992,0.0128,0.8494,257,34,61,279
1,"cp,trestbps,chol,restecg,oldpeak,slope,ca",184,105,47,0.00984,0.2362,0.008025,0.0671,0.8463,261,40,57,273
1,"cp,trestbps,chol,restecg,oldpeak,slope,ca",152,79,35,0.002172,0.1686,0.003025,0.2918,0.8384,255,39,63,274
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",171,66,63,0.008873,0.2551,0.004069,0.031,0.8574,267,39,51,274
1,"cp,trestbps,chol,oldpeak,slope,ca",137,92,63,0.008646,0.2179,0.005349,0.0898,0.8494,264,41,54,272
1,"age,cp,trestbps,chol,restecg,thalach,exang,oldpeak,slope,ca",150,99,33,0.00536,0.1047,1e-06,0.1191,0.8415,254,36,64,277
1,"cp,trestbps,chol,restecg,oldpeak,slope,ca",160,96,37,0.006452,0.223,0.006808,0.1354,0.8447,262,42,56,271
1,"cp,trestbps,chol,oldpeak,slope,ca",168,79,38,0.004711,0.2727,0.00109,0.0418,0.832,257,45,61,268
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",171,107,63,0.007583,0.2362,0.002643,0.1145,0.8479,259,37,59,276
1,"cp,trestbps,chol,oldpeak,slope,ca",159,128,45,0.007178,0.2563,0.001174,0.2283,0.8257,247,39,71,274
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",165,114,42,0.002083,0.0255,0.005612,0.2853,0.8415,270,52,48,261
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",168,66,53,0.00368,0.1991,0.002504,0.098,0.8526,262,37,56,276
1,"age,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",173,75,38,0.00561,0.3738,0.0031,0.1937,0.8574,255,27,63,286
1,"age,sex,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",128,71,46,0.01,0.3853,0.002234,0.202,0.8637,266,34,52,279
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",191,69,38,0.000474,0.375,0.003983,0.0671,0.851,246,22,72,291
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",151,104,47,0.003438,0.3913,0.00561,0.0834,0.8716,268,31,50,282
