Generation,SelectedFeatures,n1,n2,n3,lr,dr,l2,alpha,Accuracy,TP,FP,FN,TN
1,"cp,trestbps,chol,oldpeak,slope,ca",184,109,37,0.008595,0.2487,0.002595,0.0549,0.8463,253,32,65,281
1,"cp,trestbps,chol,oldpeak,slope,ca",177,103,60,0.008695,0.3891,0.007474,0.2275,0.8177,256,53,62,260
1,"cp,trestbps,chol,oldpeak,slope,ca",128,105,54,0.000923,0.0517,0.009928,0.1427,0.8431,260,41,58,272
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",172,114,40,0.008225,0.2097,0.007823,0.2794,0.8431,282,63,36,250
1,"age,sex,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",181,75,38,0.0001,0.3122,0.007326,0.1615,0.8574,260,32,58,281
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",190,95,34,0.004189,0.16,0.000847,0.2048,0.8542,260,34,58,279
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",131,103,47,0.006269,0.1833,0.00895,0.1572,0.8447,261,41,57,272
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",151,66,47,0.00774,0.2625,0.008444,0.0879,0.8621,273,42,45,271
1,"cp,trestbps,chol,oldpeak,slope,ca",132,95,56,0.00196,0.0248,0.007561,0.0754,0.8542,263,37,55,276
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",180,95,59,0.0001,0.0389,0.000421,0.2709,0.8574,262,34,56,279
1,"age,sex,cp,trestbps,chol,oldpeak,slope,ca",155,101,55,0.000633,0.1541,0.000924,0.2843,0.8605,260,30,58,283
1,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",163,101,42,0.004994,0.0928,0.009501,0.2538,0.8621,261,30,57,283
1,"cp,trestbps,chol,oldpeak,slope,ca",181,103,51,0.002277,0.0646,0.004832,0.0624,0.851,259,35,59,278
1,"cp,trestbps,chol,oldpeak,slope,ca",159,69,61,0.008647,0.247,0.006228,0.12,0.8257,264,56,54,257
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",136,77,44,0.009966,0.0225,0.00061,0.064,0.8605,267,37,51,276
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",161,114,64,0.007865,0.1786,0.006781,0.0894,0.8653,274,41,44,272
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",171,75,39,0.005323,0.0193,0.002452,0.2391,0.8621,264,33,54,280
1,"sex,cp,trestbps,chol,thalach,oldpeak,slope,ca",160,102,46,0.01,0.3044,0.01,0.075,0.8415,258,40,60,273
