Generation,SelectedFeatures,n1,n2,n3,lr,dr,l2,alpha,Accuracy,TP,FP,FN,TN
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",148,119,57,0.004413,0.17,0.004645,0.0475,0.8542,267,41,51,272
1,"age,sex,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",164,117,51,0.005509,0.2323,0.002079,0.1057,0.859,265,36,53,277
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",128,123,42,0.0001,0.1801,0.001798,0.048,0.8431,267,48,51,265
1,"cp,trestbps,chol,oldpeak,slope,ca",161,90,44,0.00966,0.0122,0.00642,0.2949,0.8352,261,47,57,266
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",151,105,54,0.008881,0.343,0.008585,0.0156,0.8368,265,50,53,263
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",137,127,48,0.004967,0.1331,0.009912,0.2253,0.8399,272,55,46,258
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",129,99,45,0.006314,0.2692,0.00092,0.1482,0.8653,265,32,53,281
1,"cp,trestbps,chol,restecg,oldpeak,slope,ca",141,66,39,0.004881,0.01,0.000162,0.2563,0.8494,256,33,62,280
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",171,93,37,0.005677,0.2784,0.006573,0.1113,0.8384,253,37,65,276
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",164,125,60,0.001417,0.208,0.008239,0.2986,0.8431,255,36,63,277
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",134,122,44,0.002637,0.1501,0.000825,0.2163,0.8574,263,35,55,278
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",177,121,45,0.004724,0.0125,0.001678,0.0275,0.8685,273,38,45,275
1,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",151,104,64,0.000715,0.3174,0.009058,0.1522,0.851,263,39,55,274
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",190,90,37,0.009461,0.3337,0.008362,0.1738,0.8494,260,37,58,276
1,"cp,trestbps,chol,oldpeak,slope,ca",129,111,37,0.006279,0.0505,0.000544,0.2081,0.8431,252,33,66,280
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",154,125,50,0.007456,0.1205,0.008635,0.2063,0.8304,260,49,58,264
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",183,94,32,0.000194,0.2997,0.007691,0.0972,0.8368,247,32,71,281
1,"cp,trestbps,chol,oldpeak,slope,ca",173,66,54,0.000618,0.2928,0.01,0.0387,0.8273,258,49,60,264
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",142,96,58,0.004826,0.0285,0.009749,0.1008,0.8368,252,37,66,276
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",175,73,63,0.007798,0.1089,0.000704,0.1905,0.8669,269,35,49,278
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",186,68,64,0.005398,0.3198,0.002364,0.2072,0.8605,264,34,54,279
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",129,99,45,0.006314,0.2692,0.00092,0.0356,0.8637,264,32,54,281
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",151,124,49,0.008064,0.1958,0.001561,0.1482,0.8574,264,36,54,277
2,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",188,114,34,0.01,0.3575,0.007336,0.0736,0.8273,232,23,86,290
2,"age,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",129,99,45,0.006314,0.2692,1e-06,0.1482,0.8685,263,28,55,285
2,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",155,94,40,0.009162,0.1637,0.009615,0.0695,0.8479,259,37,59,276
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",130,119,39,0.00771,0.0739,0.003942,0.2165,0.8526,273,48,45,265
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",176,83,47,0.009588,0.2537,0.005316,0.1898,0.8494,274,51,44,262
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",151,104,64,0.000715,0.3174,0.009058,0.1522,0.8384,263,47,55,266
2,"age,cp,trestbps,chol,restecg,thalach,exang,oldpeak,slope,ca",192,128,39,0.009135,0.0637,0.003622,0.024,0.87,266,30,52,283
2,"age,sex,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",164,117,51,0.005509,0.2323,0.002079,0.1057,0.8621,269,38,49,275
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",175,73,63,0.007798,0.1089,0.000704,0.16,0.8653,270,37,48,276
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",147,120,44,0.004509,0.3887,1e-06,0.1905,0.8494,259,36,59,277
2,"cp,trestbps,chol,oldpeak,slope,ca",154,67,57,0.006428,0.3562,0.001989,0.288,0.8399,250,33,68,280
2,"cp,trestbps,chol,thalach,oldpeak,slope,ca",169,127,64,0.007543,0.1934,0.002155,0.1462,0.851,264,40,54,273
2,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",192,128,39,0.009135,0.0637,0.003622,0.024,0.8542,262,36,56,277
