Generation,Individual,n1,n2,n3,lr,dr,l2,alpha,Accuracy,TP,FP,FN,TN
1,"[177, 100, 30, 0.0024253287255988558, 0.11376754274770709, 0.0012232666641390673, 0.0607259001080781]",177,100,30,0.002425,0.1138,0.001223,0.0607,0.7683,206,88,23,162
1,"[137, 65, 40, 0.0007646452425913184, 0.11277958737378023, 0.006517308930080333, 0.12571311941742708]",137,65,40,0.000765,0.1128,0.006517,0.1257,0.7704,192,73,37,177
1,"[165, 67, 40, 0.006839389224072461, 0.10189660934167552, 0.008262532356060576, 0.22317945086098476]",165,67,40,0.006839,0.1019,0.008263,0.2232,0.4948,229,242,0,8
1,"[116, 71, 72, 0.003904406254056281, 0.23305373427428208, 0.006097887896224057, 0.06913677501197893]",116,71,72,0.003904,0.2331,0.006098,0.0691,0.6493,220,159,9,91
1,"[177, 50, 81, 0.008440992141950139, 0.28268535153982394, 0.007975767857303863, 0.08425492882129822]",177,50,81,0.008441,0.2827,0.007976,0.0843,0.7328,208,107,21,143
1,"[147, 96, 41, 0.009713040282136121, 0.11029596897048395, 0.000789597652332117, 0.10559335203007215]",147,96,41,0.009713,0.1103,0.00079,0.1056,0.7098,214,124,15,126
1,"[181, 130, 61, 0.0029865495143693486, 0.1028346106223523, 0.009421561247681247, 0.02694614332848335]",181,130,61,0.002987,0.1028,0.009422,0.0269,0.7996,181,48,48,202
1,"[107, 93, 47, 0.001019749811010774, 0.2929638141970955, 0.002997574347436742, 0.15301347440248034]",107,93,47,0.00102,0.293,0.002998,0.153,0.7996,171,38,58,212
1,"[113, 137, 83, 0.004489673887401209, 0.2839131823963791, 0.008704157486029044, 0.2584088583546824]",113,137,83,0.00449,0.2839,0.008704,0.2584,0.666,218,149,11,101
1,"[113, 125, 72, 0.00028419014993989197, 0.19223814403055095, 0.004764421650256529, 0.18906243922991142]",113,125,72,0.000284,0.1922,0.004764,0.1891,0.7599,201,87,28,163
